what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1315286233551
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1315286233553
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1315286233553
os,sysinfo,,,"win32",1315286233557
arch,sysinfo,,,"x86",1315286233557
ws,sysinfo,,,"win32",1315286233557
locale,sysinfo,,,"en_US",1315286233557
processors,sysinfo,,,"2",1315286233557
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315286233557
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1315286233557
java.specification.name,sysinfo,,,"Java Platform API Specification",1315286233557
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315286233557
java.specification.version,sysinfo,,,"1.6",1315286233557
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1315286233557
java.version,sysinfo,,,"1.6.0_26",1315286233557
java.vm.info,sysinfo,,,"mixed mode, sharing",1315286233557
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1315286233557
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315286233557
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315286233557
java.vm.specification.version,sysinfo,,,"1.0",1315286233557
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1315286233557
java.vm.version,sysinfo,,,"20.1-b02",1315286233557
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1315286234402
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1315286251743
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1315286251864
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1315286252602
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1315286253111
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1315286254082
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1315286254625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315286404231
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315286404820
